object_annotation_category,total_lipids_ugC,fullness_ratio_carbon,month,month_true
civstage+lateral<Calanus hyperboreus,130.60803148554942,0.4902050316078476,8,8
civstage+lateral<Calanus hyperboreus,280.0734097316798,0.5439929462981216,8,8
civstage+lateral<Calanus hyperboreus,260.16884099360726,0.5629152122857161,8,8
female+lateral<Calanus hyperboreus,1417.701858317742,0.5574737821663944,8,8
cvstage+lateral<Calanus glacialis,293.1002703671484,0.6080471626001877,8,8
civstage+lateral<Calanus hyperboreus,428.22994128682024,0.6455734546451367,8,8
cvstage+lateral<Calanus glacialis,316.5858371695676,0.6088860875509011,8,8
female+lateral<Calanus hyperboreus,1682.000949695167,0.5367322488811891,8,8
civstage+lateral<Calanus hyperboreus,262.17004611852195,0.523978673025376,8,8
civstage+lateral<Calanus hyperboreus,289.46762512113725,0.6538827233296097,8,8
civstage+lateral<Calanus hyperboreus,247.7200226731681,0.5396323509609147,8,8
civstage+lateral<Calanus hyperboreus,334.0575696848339,0.5652380827889768,8,8
civstage+lateral<Calanus hyperboreus,343.488482306138,0.6747673277143246,8,8
civstage+lateral<Calanus hyperboreus,123.89189772121702,0.4750660661976383,8,8
civstage+lateral<Calanus hyperboreus,330.0210384977513,0.5523402269356795,8,8
cvstage+lateral<Calanus glacialis,247.83943458941584,0.5272814353494112,8,8
cvstage+lateral<Calanus glacialis,276.1811824000274,0.6681475177975463,8,8
female+lateral<Calanus hyperboreus,1728.5843637826356,0.60587163414288,8,8
female+lateral<Calanus glacialis,225.75105182070516,0.6647550131724028,8,8
cvstage+lateral<Calanus hyperboreus,661.0264809881639,0.5761777069957918,8,8
female+lateral<Calanus hyperboreus,1171.2262244876877,0.5968076844510067,8,8
civstage+lateral<Calanus hyperboreus,314.4054622185408,0.5196077615028242,8,8
cvstage+lateral<Calanus glacialis,331.6469254562685,0.582733556285218,8,8
cvstage+lateral<Calanus hyperboreus,882.6537663000262,0.6489744791659541,8,8
civstage+lateral<Calanus hyperboreus,427.87901620013054,0.6084531787106608,8,8
cvstage+lateral<Calanus hyperboreus,471.67275580810383,0.5166609028237364,8,8
civstage+lateral<Calanus hyperboreus,347.9688641583465,0.5722235060985591,8,8
female+lateral<Calanus hyperboreus,1054.5845770677422,0.6097046524489361,8,8
civstage+lateral<Calanus hyperboreus,273.10360865801243,0.6038501939362617,8,8
female+lateral<Calanus glacialis,299.20539087762785,0.6243405277336896,8,8
female+lateral<Calanus glacialis,229.3607472502578,0.5505353555049626,8,8
civstage+lateral<Calanus hyperboreus,343.2254657768749,0.6085013730231434,8,8
civstage+lateral<Calanus hyperboreus,176.0270314042774,0.4946400575311104,8,8
cvstage+lateral<Calanus hyperboreus,891.2729078564101,0.6752131711170607,8,8
cvstage+lateral<Calanus hyperboreus,659.4308304714241,0.6700289422390203,8,8
cvstage+lateral<Calanus hyperboreus,443.39221091802017,0.5043048715097677,8,8
cvstage+lateral<Calanus glacialis,292.3475897600869,0.5617713239671608,8,8
female+lateral<Calanus hyperboreus,1244.8774568573142,0.5514473935763672,8,8
civstage+lateral<Calanus hyperboreus,364.1858931422104,0.6567681010506442,8,8
cvstage+lateral<Calanus glacialis,353.4607690970882,0.6678203472784052,8,8
cvstage+lateral<Calanus glacialis,350.54622956575673,0.6388115540688499,8,8
cvstage+lateral<Calanus glacialis,367.1334293668788,0.6842906269116151,8,8
cvstage+lateral<Calanus hyperboreus,622.6560586849575,0.5488406474059887,8,8
cvstage+lateral<Calanus glacialis,326.1933335757801,0.6397560941160824,8,8
cvstage+lateral<Calanus glacialis,296.11670813201994,0.6994374262394345,8,8
cvstage+lateral<Calanus hyperboreus,757.31690883372,0.6127310835869091,8,8
female+lateral<Calanus hyperboreus,1085.1369074200738,0.6415438636325751,8,8
civstage+lateral<Calanus hyperboreus,304.0781320560347,0.619334574409303,8,8
civstage+lateral<Calanus hyperboreus,299.9000702026991,0.5712769949304705,8,8
cvstage+lateral<Calanus glacialis,214.9671124060728,0.5360967687656448,8,8
cvstage+lateral<Calanus hyperboreus,1250.1618666446054,0.7083863861324096,8,8
cvstage+lateral<Calanus hyperboreus,919.7413611022232,0.6729333771659735,8,8
civstage+lateral<Calanus hyperboreus,413.9815996309739,0.6326745351983254,8,8
cvstage+lateral<Calanus hyperboreus,317.03529078259675,0.6913252421580394,8,8
cvstage+lateral<Calanus hyperboreus,577.0600047292992,0.7357353158045838,8,8
cvstage+lateral<Calanus hyperboreus,566.1273966895899,0.5749421011775497,8,8
female+lateral<Calanus hyperboreus,1869.370252384659,0.634698310542609,8,8
cvstage+lateral<Calanus hyperboreus,1229.877937560208,0.5873358821099365,8,8
female+lateral<Calanus hyperboreus,1778.6430369985262,0.6081142184969891,8,8
female+lateral<Calanus hyperboreus,1844.1306343421377,0.681532611188907,8,8
cvstage+lateral<Calanus glacialis,366.798128300236,0.696414275422612,8,8
female+lateral<Calanus hyperboreus,2199.7773836248434,0.6527457853600296,8,8
female+lateral<Calanus hyperboreus,994.9823160506004,0.6163448723437752,8,8
female+lateral<Calanus hyperboreus,1619.8550137140433,0.6348253395861627,8,8
